"id","Time","VE","Fb","VT","PO2","PCO2","ScO2"
"IHLTF02",895.725,61.73195648,23.90438271,2.321647167,47.63019943,44.00075912,83.1168965354164
"IHLTF02",898.235000000001,67.69657135,26.0303688,2.338029861,47.21505737,44.10651016,82.7607768559742
"IHLTF02",900.54,68.83135223,25.36997795,2.439101696,59.46172333,43.87385941,90.352817580864
"IHLTF02",902.905000000001,68.63002777,23.76237679,2.596498013,76.8976593,42.22415543,95.2210736750205
"IHLTF02",905.43,63.23090363,23.4375,2.425391197,89.14432526,41.10319901,96.8598014663562
"IHLTF02",907.990000000001,61.97616959,23.48336601,2.37261939,100.975853,40.08799744,97.8092115023473
"IHLTF02",910.545,56.37732315,26.96629143,1.879519939,108.6559753,40.13029861,98.2306291495505
"IHLTF02",912.77,56.07837677,23.90438271,2.109024525,112.5998154,39.74959564,98.4058982601745
"IHLTF02",915.280000000001,53.07871246,22.90076256,2.083694935,115.0906525,40.0033989,98.5049242349452
"IHLTF02",917.900000000001,34.15700531,23.12138748,1.32809639,120.2799225,40.08799744,98.6865464932496
"IHLTF02",920.495,34.93427658,23.62204742,1.329529285,109.0710983,42.414505,98.2502389701545
"IHLTF02",923.035000000001,35.80787277,21.73913002,1.48081243,95.16387939,43.62005615,97.3985381949173
"IHLTF02",925.795,35.23850632,20.44293022,1.549665809,83.74748993,45.07941055,96.2460116405451
"IHLTF02",928.73,37.52377701,17.19197655,1.96220541,73.99167633,45.07941055,94.6768098532765
"IHLTF02",932.22,35.34503555,19.04761887,1.668212771,66.93426514,43.95846176,92.9796930018929
"IHLTF02",935.37,33.85954285,19.41747665,1.567660451,61.95257568,43.36626053,91.348534512958
"IHLTF02",938.46,39.39505386,19.448946,1.820997477,57.38602448,43.00670624,89.4112387822225
"IHLTF02",941.545,45.37534332,18.54714012,2.199412584,54.06489182,42.62600327,87.6544571091674
"IHLTF02",944.780000000001,48.12460709,22.98850632,1.882002354,53.02703857,42.24530792,87.0330675562838
"IHLTF02",947.39,57.760849,23.16602325,2.241536379,50.12104797,42.20300293,85.0792156526668
"IHLTF02",949.98,67.70808411,25.42372894,2.394225121,49.91347885,41.73770523,84.9264910810127
"IHLTF02",952.34,59.58598328,24.24242401,2.20969224,49.91347885,41.78000259,84.9264910810127
"IHLTF02",954.815000000001,57.7557106,23.48336601,2.211048603,48.66805267,42.37220764,83.9697867465245
"IHLTF02",957.37,63.94906616,25.8064518,2.227766275,46.79991531,43.0701561,82.3957784902948
"IHLTF02",959.695000000001,69.60623169,26.72605705,2.341407061,61.95257568,43.36626053,91.348534512958
"IHLTF02",961.940000000001,79.14394379,19.29260445,NA,77.72794342,42.71060181,95.3632416124774
"IHLTF02",965.05,61.29469681,20.72538948,2.658789158,94.33359528,41.1243515,97.3318385630022
"IHLTF02",967.945000000001,46.85443878,21.39037514,1.969228268,100.975853,40.70135117,97.8092115023473
"IHLTF02",970.75,34.6005249,21.27659607,1.461989522,106.5802689,40.76479721,98.128104847415
"IHLTF02",973.570000000001,42.49076462,24.14486885,1.582098126,110.5241013,40.93400192,98.3166609407695
"IHLTF02",976.055,NA,30.92783546,NA,113.014946,41.10319901,98.4229912818647
"IHLTF02",977.995,31.70669937,18.89763832,1.508367658,108.8635483,42.96440887,98.2404706241382
"IHLTF02",981.17,37.26372147,20.6896553,1.619185805,100.975853,42.90095901,97.8092115023473
"IHLTF02",984.070000000001,36.01027298,21.31438637,1.518858433,98.06987,42.83750534,97.6154494675236
"IHLTF02",986.885,32.69500351,19.16932869,1.533339143,87.48376465,42.83750534,96.6858885282597
"IHLTF02",990.015,29.58378601,19.96672249,1.332019806,79.18093872,42.28760147,95.5991181959553
"IHLTF02",993.02,29.37838364,19.80198097,1.333776236,72.12352753,42.62600327,94.2841918444924
"IHLTF02",996.05,29.25036049,20.47781563,1.284136891,66.51912689,42.79520798,92.8595691801795
"IHLTF02",998.98,26.6405201,18.80877686,1.273344278,62.16014481,43.00670624,91.4255432319774
"IHLTF02",1002.17,38.16801071,20.97902107,1.635603428,59.0465889,43.17591095,90.1731417051096
"IHLTF02",1005.03,40.89610672,22.14022064,1.660595059,56.55573654,42.6048584,89.0027148179439
"IHLTF02",1007.74,41.5213356,21.16402054,1.763749242,56.34816742,41.82229996,88.8975447688225
"IHLTF02",1010.575,49.28638458,13.11475372,3.378551245,53.2346077,41.31470108,87.1603525479776
"IHLTF02",1015.15,44.89283752,21.20141411,1.90360105,50.53618622,41.90690231,85.3791215418954
"IHLTF02",1017.98,48.32348251,24.64065742,1.763070464,62.78285599,42.22415543,91.6514381546117
"IHLTF02",1020.415,50.18435287,20.86956596,2.161815405,75.23709869,41.20895004,94.9193861505911
"IHLTF02",1023.29,39.35858154,20.61855698,1.716109037,88.31404877,40.97629929,96.7743765593579
"IHLTF02",1026.2,38.94887924,23.12138748,1.514414549,93.91845703,41.2935524,97.2976471925382
"IHLTF02",1028.795,35.45311356,19.80198097,1.609568357,100.3531494,41.42045212,97.7694846513911
"IHLTF02",1031.825,29.65935135,15.8730154,1.67983222,101.1834259,42.03380585,97.8222471544541
"IHLTF02",1035.605,29.87418556,18.75,1.432380915,103.8818436,42.18185425,97.9827876473927
"IHLTF02",1038.805,29.66965866,19.41747665,1.37367332,98.2774353,41.80115509,97.6300191060497
"IHLTF02",1041.895,25.63837814,20.79722786,1.108278275,91.42760468,42.71060181,97.0799572064366
"IHLTF02",1044.78,27.13440514,20.33898354,1.199374437,84.37020874,43.00670624,96.3243996780242
"IHLTF02",1047.73,30.00185776,20.83333397,1.294652104,78.14308929,43.34510803,95.4322740023933
"IHLTF02",1050.61,36.26455307,21.39037514,1.524149776,73.99167633,43.59891129,94.6768098532765
"IHLTF02",1053.415,36.55798721,22.8571434,1.437884688,68.17970276,42.7529068,93.3249350307884
"IHLTF02",1056.04,36.5696373,20.86956596,1.575327754,66.10398865,42.64715576,92.7368139509761
"IHLTF02",1058.915,32.48305511,20.37351418,1.433357835,60.29201126,41.94920349,90.6999997662122
"IHLTF02",1061.86,34.7369957,19.96672249,1.564044714,56.97088242,42.52025604,89.2093779602307
"IHLTF02",1064.865,39.66335678,20.72538948,1.720483422,53.85731888,43.00670624,87.5331462786105
"IHLTF02",1067.76,43.05628586,20.97902107,1.845079303,51.7816124,42.66830826,86.2361937332741
"IHLTF02",1070.62,49.28264999,21.46690559,2.063898325,51.36647034,42.35105515,85.9574276093448
"IHLTF02",1073.415,50.80431747,21.4285717,2.131430149,48.87562561,42.54140472,84.1341676756005
"IHLTF02",1076.215,48.87355804,22.05882263,1.991844058,48.87562561,42.7529068,84.1341676756005
"IHLTF02",1078.935,52.0490303,22.38805962,2.090065479,47.21505737,43.34510803,82.7607768559742
"IHLTF02",1081.615,59.92773819,24,2.244813919,63.61314392,42.45680618,91.9410653677021
"IHLTF02",1084.115,57.62973022,22.90076256,2.262352943,77.10523224,41.14550018,95.2571391650467
"IHLTF02",1086.735,48.1659584,22.72727203,1.905270338,87.89891052,39.77074432,96.7305240157497
